"term","stat","market_2","market_3","market_4","market_5","market_6","market_7","market_8","market_9","market_10","market_11"
"diff_dist","estimate","-0.165","-0.154","-0.214","-0.108","-0.015","-0.151","-0.161","-0.155","-0.206","-0.013"
"diff_dist","std.error","(0.004)","(0.007)","(0.078)","(0.002)","(0.013)","(0.006)","(0.005)","(0.002)","(0.011)","(0.019)"
"perilevel_plus","estimate","2.624","2.935","0.499","-0.139",NA,"1.052","-0.188","0.080","1.509",NA
"perilevel_plus","std.error","(0.215)","(0.901)","(0.210)","(0.096)",NA,"(0.177)","(0.105)","(0.080)","(0.312)",NA
"teach_major","estimate","0.455",NA,NA,"0.704",NA,NA,NA,"0.356",NA,"-0.977"
"teach_major","std.error","(0.110)",NA,NA,"(0.105)",NA,NA,NA,"(0.027)",NA,"(0.160)"
"c_section_elect","estimate","-7.058","-37.034","9.559","-17.700","0.670","5.703","-21.685","5.462","37.476","-7.799"
"c_section_elect","std.error","(2.718)","(14.175)","(7.806)","(3.058)","(11.976)","(2.248)","(3.274)","(0.857)","(19.893)","(3.721)"
"psi_90","estimate","-0.723","-1.367","1.570","0.217","0.649","-2.635","0.173","1.240","-3.819","1.283"
"psi_90","std.error","(0.360)","(0.765)","(0.983)","(0.193)","(2.494)","(0.646)","(0.352)","(0.067)","(1.098)","(0.339)"
"diff_dist:ci_scorent","estimate","0.001","-0.000","0.003","0.001","-0.000","0.001","0.000","0.000","-0.000","0.002"
"diff_dist:ci_scorent","std.error","(0.000)","(0.000)","(0.002)","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)"
"perilevel_plus:ci_scorent","estimate","-0.033","0.016","0.047","0.027",NA,"0.030","0.026","0.028","0.003",NA
"perilevel_plus:ci_scorent","std.error","(0.003)","(0.015)","(0.005)","(0.002)",NA,"(0.003)","(0.002)","(0.002)","(0.006)",NA
"teach_major:ci_scorent","estimate","0.051",NA,NA,"0.076",NA,NA,NA,"0.011",NA,"0.031"
"teach_major:ci_scorent","std.error","(0.002)",NA,NA,"(0.002)",NA,NA,NA,"(0.000)",NA,"(0.002)"
"c_section_elect:ci_scorent","estimate","0.672","-0.926","0.373","0.194","0.283","-0.067","-0.428","-0.103","-0.556","-0.425"
"c_section_elect:ci_scorent","std.error","(0.050)","(0.280)","(0.159)","(0.059)","(0.291)","(0.044)","(0.063)","(0.015)","(0.353)","(0.062)"
"psi_90:ci_scorent","estimate","-0.004","-0.012","0.017","-0.074","0.004","-0.087","0.019","0.008","0.044","-0.014"
"psi_90:ci_scorent","std.error","(0.006)","(0.015)","(0.022)","(0.004)","(0.059)","(0.011)","(0.006)","(0.001)","(0.021)","(0.005)"
"diff_dist:age","estimate","0.001","0.001","0.001","0.000","-0.001","0.001","0.000","0.000","0.001","0.002"
"diff_dist:age","std.error","(0.000)","(0.000)","(0.002)","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)","(0.001)"
"perilevel_plus:age","estimate","0.020","0.001","-0.000","0.015",NA,"0.013","0.040","0.040","-0.018",NA
