" ","FALSE (N=11730773) / Mean","FALSE (N=11730773) / Std. Dev.","TRUE (N=593999) / Mean","TRUE (N=593999) / Std. Dev.","Diff. in Means","Std. Error"
"diff_dist","29.0832","19.8850","4.6826","8.0344","-24.4006","0.0119"
"perilevel_plus","0.5170","0.4997","0.6894","0.4627","0.1724","6.19e-04"
"perilevel2","0.2598","0.4385","0.2253","0.4178","-0.0346","5.579e-04"
"perilevel34","0.5170","0.4997","0.6894","0.4627","0.1724","6.19e-04"
"psi_90","1.0184","0.1541","1.0504","0.1770","0.0320","2.376e-04"
"teach_major","0.1191","0.3239","0.1587","0.3654","0.0396","4.845e-04"
"teach_minor","0.3807","0.4856","0.5679","0.4954","0.1872","6.597e-04"
"any_teach","0.4998","0.5000","0.7266","0.4457","0.2268","5.98e-04"
"c_section_elect","0.0329","0.0163","0.0363","0.0139","0.0035","0.0000"
"ci_score","11.4569","17.6718","11.3101","17.4665","-0.1468","0.0232"
"ci_scorent","6.0829","10.3179","5.9664","10.1478","-0.1165","0.0135"
