"outcome","patient_char","bin","mkt","mean","sd","l_95","u_95"
"ch_dist","age","(19.6,28.2]",2,-0.0225079689980821,0.000167212773350475,-0.0228357060338491,-0.0221802319623152
"ch_dist","age","(19.6,28.2]",3,-0.00996114005179986,0.000110240293312217,-0.0101772110266918,-0.00974506907690791
"ch_dist","age","(19.6,28.2]",4,-0.0282694302839282,0.0010542357470781,-0.0303357323482013,-0.0262031282196551
"ch_dist","age","(19.6,28.2]",5,-0.0176661539031,9.35437487696925e-05,-0.0178494996506886,-0.0174828081555114
"ch_dist","age","(19.6,28.2]",6,-0.00844961162935324,0.000327365919495518,-0.00909124883156445,-0.00780797442714202
"ch_dist","age","(19.6,28.2]",7,-0.0109439468107524,9.33569612222264e-05,-0.011126926454748,-0.0107609671667569
"ch_dist","age","(19.6,28.2]",8,-0.0245658605297642,0.0002070807881974,-0.0249717388746311,-0.0241599821848973
"ch_dist","age","(19.6,28.2]",10,-0.0107487383305932,0.000131776771855983,-0.0110070208034309,-0.0104904558577555
"ch_dist","age","(19.6,28.2]",11,-0.0199087561068251,0.000954977845407948,-0.0217805126838247,-0.0180369995298256
"ch_dist","age","(28.2,36.8]",2,-0.0220843770231864,0.000198377287888257,-0.0224731965074474,-0.0216955575389254
"ch_dist","age","(28.2,36.8]",3,-0.0096175892358224,0.000124844435474739,-0.00986228432935288,-0.00937289414229191
"ch_dist","age","(28.2,36.8]",4,-0.0296833940635942,0.00117906125587532,-0.0319943541251098,-0.0273724340020786
"ch_dist","age","(28.2,36.8]",5,-0.0182854523198509,0.000117527918069539,-0.0185158070392672,-0.0180550976004346
"ch_dist","age","(28.2,36.8]",6,-0.00909424305238653,0.000384120600352961,-0.00984711942907834,-0.00834136667569473
"ch_dist","age","(28.2,36.8]",7,-0.0103027189861037,0.000129275880836792,-0.0105560997125438,-0.0100493382596636
"ch_dist","age","(28.2,36.8]",8,-0.0264120953850784,0.000215943525570015,-0.0268353446951956,-0.0259888460749612
"ch_dist","age","(28.2,36.8]",10,-0.00971626603337384,0.000205265443578393,-0.0101185863027875,-0.00931394576396019
"ch_dist","age","(28.2,36.8]",11,-0.0184167441417421,0.0011318185201285,-0.020635108441194,-0.0161983798422902
"ch_dist","age","(36.8,45.4]",2,-0.0215405957996172,0.000348629017928109,-0.0222239086747563,-0.0208572829244782
"ch_dist","age","(36.8,45.4]",3,-0.00991888777625395,0.000244782763429829,-0.0103986619925764,-0.00943911355993149
"ch_dist","age","(36.8,45.4]",4,-0.0352299852284309,0.00199345394497572,-0.0391371549605833,-0.0313228154962785
"ch_dist","age","(36.8,45.4]",5,-0.0181232891425746,0.000196907993987056,-0.0185092288107893,-0.01773734947436
"ch_dist","age","(36.8,45.4]",6,-0.00866138368657576,0.000634473687756735,-0.00990495211457896,-0.00741781525857256
"ch_dist","age","(36.8,45.4]",7,-0.00927445019034784,0.000279730758032978,-0.00982272247609248,-0.0087261779046032
"ch_dist","age","(36.8,45.4]",8,-0.0259668374098247,0.00041487485327327,-0.0267799921222403,-0.0251536826974091
"ch_dist","age","(36.8,45.4]",10,-0.00937656782957414,0.000383661099903675,-0.0101285435853853,-0.00862459207376294
"ch_dist","age","(36.8,45.4]",11,-0.0163999097139765,0.00180343636059753,-0.0199346449807476,-0.0128651744472053
"ch_dist","age","(45.4,54]",2,-0.0223288040482556,0.00145344861956698,-0.0251775633426069,-0.0194800447539044
"ch_dist","age","(45.4,54]",3,-0.00763087504711527,0.00231180756860228,-0.0121620178815757,-0.00309973221265479
"ch_dist","age","(45.4,54]",4,-0.0432738279529437,0.00794710603491263,-0.0588501557813725,-0.027697500124515
"ch_dist","age","(45.4,54]",5,-0.016462818371539,0.00135787487757863,-0.0191242531315932,-0.0138013836114849
"ch_dist","age","(45.4,54]",6,-0.01001745542471,0.00149745012174931,-0.0129524576633387,-0.00708245318608136
"ch_dist","age","(45.4,54]",7,-0.00711766958376679,0.00294481540075733,-0.0128895077692512,-0.00134583139828242
"ch_dist","age","(45.4,54]",8,-0.0244567919557797,0.00284087859238313,-0.0300249139968506,-0.0188886699147088
"ch_dist","age","(45.4,54]",10,-0.012157656212666,0.0036012841962839,-0.0192161732373825,-0.00509913918794961
