"outcome","patient_char","bin","mean","sd","l_95","u_95"
"ch_dist","ci_scorent","10",-0.0196570210711924,0.000151927668426512,-0.0199547993013083,-0.0193592428410764
"ch_dist","ci_scorent","50",-0.0201624019577042,0.000469435279632463,-0.0210824951057838,-0.0192423088096246
"ch_dist","ci_scorent","75",-0.0196996851997559,0.000153219635376383,-0.0199999956850936,-0.0193993747144181
"ch_dist","ci_scorent","90",-0.0199478663327727,0.000190655133967082,-0.0203215503953482,-0.0195741822701972
"ch_dist","ci_scorent","100",-0.0165621637163397,0.000353228976330543,-0.0172544925099476,-0.0158698349227318
"ch_dist","obgyn_10kwra","10",-0.0177823923313484,0.00026270801626532,-0.0182973000432285,-0.0172674846194684
"ch_dist","obgyn_10kwra","25",-0.0178677820424526,0.000212619879106878,-0.0182845170055021,-0.0174510470794031
"ch_dist","obgyn_10kwra","50",-0.0181999772862453,0.000162640441179231,-0.0185187525509566,-0.017881202021534
"ch_dist","obgyn_10kwra","75",-0.0182008773990457,0.00016059665463686,-0.0185156468421339,-0.0178861079559574
"ch_dist","obgyn_10kwra","90",-0.0242885012687936,0.000218371116605012,-0.0247165086573394,-0.0238604938802477
"ch_dist","obgyn_10kwra","100",-0.0245031850334551,0.000295083850737739,-0.0250815493809011,-0.0239248206860092
"ch_peri","ci_scorent","10",0.0998312345028503,0.00193869594493569,0.0960313904507763,0.103631078554924
"ch_peri","ci_scorent","50",0.114279964604619,0.00412206982882934,0.106200707740114,0.122359221469125
"ch_peri","ci_scorent","75",0.146947072374143,0.00191131208334589,0.143200900690785,0.150693244057501
"ch_peri","ci_scorent","90",0.206333491047205,0.00207623098289238,0.202264078320736,0.210402903773674
"ch_peri","ci_scorent","100",0.35041022369389,0.00352478701780821,0.343501641138986,0.357318806248794
"ch_peri","obgyn_10kwra","10",0.19316130818843,0.00336784836980467,0.186560325383613,0.199762290993248
"ch_peri","obgyn_10kwra","25",0.232221395369978,0.00282278211357562,0.226688742427369,0.237754048312586
"ch_peri","obgyn_10kwra","50",0.155134110682708,0.00160811025767008,0.151982214577674,0.158286006787741
"ch_peri","obgyn_10kwra","75",0.109250584703526,0.00206536431405283,0.105202470647982,0.113298698759069
"ch_peri","obgyn_10kwra","90",0.105865664862676,0.00387018378880639,0.0982801046366156,0.113451225088737
"ch_peri","obgyn_10kwra","100",0.137921468972961,0.00444355049046215,0.129212110011655,0.146630827934267
"ch_teach","ci_scorent","10",0.055949738640506,0.00225392871942442,0.0515320383504341,0.0603674389305778
"ch_teach","ci_scorent","50",0.155807817218478,0.00645330999581192,0.143159329626686,0.168456304810269
"ch_teach","ci_scorent","75",0.0427609215936797,0.00223225514046101,0.0383857015183762,0.0471361416689833
"ch_teach","ci_scorent","90",0.069890971094979,0.00297598715745828,0.0640580362663608,0.0757239059235972
"ch_teach","ci_scorent","100",0.051104086332705,0.0048178959672031,0.0416610102369869,0.060547162428423
"ch_teach","obgyn_10kwra","10",0.109220475965887,0.00313519131091633,0.103075500996491,0.115365450935283
"ch_teach","obgyn_10kwra","25",0.0265977302074594,0.00438167634203003,0.0180096445770805,0.0351858158378382
"ch_teach","obgyn_10kwra","50",0.0725475741080016,0.00226572617124395,0.0681067508123634,0.0769883974036397
"ch_teach","obgyn_10kwra","75",0.0378944240714065,0.00232089690925066,0.0333454661292752,0.0424433820135378
"ch_teach","obgyn_10kwra","90",0.0326448193425608,0.00391494005266156,0.0249715368393441,0.0403181018457774
"ch_teach","obgyn_10kwra","100",0.0612307627243125,0.00412206498419106,0.053151515355298,0.069310010093327
"ch_csection","ci_scorent","10",-0.00538430047797954,0.000446671485535113,-0.00625977658962836,-0.00450882436633071
"ch_csection","ci_scorent","50",-0.0260815829129485,0.00115075997965878,-0.0283370724730797,-0.0238260933528173
"ch_csection","ci_scorent","75",-0.0132331116404137,0.000459412960298504,-0.0141335610425987,-0.0123326622382286
"ch_csection","ci_scorent","90",-0.0224413561707466,0.00055497983755319,-0.0235291166523509,-0.0213535956891424
"ch_csection","ci_scorent","100",-0.0380328764009137,0.00100508809474207,-0.0400028490666081,-0.0360629037352192
"ch_csection","obgyn_10kwra","10",-0.0158349948935552,0.000711889897658388,-0.0172302990929656,-0.0144396906941447
"ch_csection","obgyn_10kwra","25",-0.00881575064116839,0.00122921310186693,-0.0112250083208276,-0.0064064929615092
"ch_csection","obgyn_10kwra","50",-0.0148122712617513,0.000406107588842721,-0.0156082421358831,-0.0140163003876196
"ch_csection","obgyn_10kwra","75",-0.0107861082352514,0.000523553198643893,-0.0118122725045935,-0.0097599439659094
"ch_csection","obgyn_10kwra","90",-0.0138392607359409,0.000645637705429461,-0.0151047106385827,-0.0125738108332992
"ch_csection","obgyn_10kwra","100",-0.015235370617866,0.000975698761258541,-0.0171477401899328,-0.0133230010457993
