"outcome","patient_char","bin","mkt","mean","sd","l_95","u_95"
"ch_dist","ci_scorent","10",2,-0.0231761093854998,0.000169791164650216,-0.0235089000682142,-0.0228433187027854
"ch_dist","ci_scorent","10",3,-0.00961390606641322,0.000112123405602115,-0.00983366794139337,-0.00939414419143307
"ch_dist","ci_scorent","10",4,-0.0258562020669986,0.00112692509511741,-0.0280649752534287,-0.0236474288805685
"ch_dist","ci_scorent","10",5,-0.0184857235200012,0.000100111499237914,-0.0186819420585075,-0.0182895049814949
"ch_dist","ci_scorent","10",6,-0.00821693900226426,0.000341587157118782,-0.00888644983021707,-0.00754742817431144
"ch_dist","ci_scorent","10",7,-0.0112761284871781,0.000100893159651691,-0.0114738790800954,-0.0110783778942608
"ch_dist","ci_scorent","10",8,-0.0250717866168508,0.00020483045270982,-0.025473254304162,-0.0246703189295395
"ch_dist","ci_scorent","10",10,-0.00952968405306288,0.000131991215346192,-0.00978838683514141,-0.00927098127098434
"ch_dist","ci_scorent","10",11,-0.0192994304192655,0.0010246886040634,-0.0213078200832298,-0.0172910407553012
"ch_dist","ci_scorent","25",2,-0.0231761093854998,0.000169791164650216,-0.0235089000682142,-0.0228433187027854
"ch_dist","ci_scorent","25",3,-0.00961390606641322,0.000112123405602115,-0.00983366794139337,-0.00939414419143307
"ch_dist","ci_scorent","25",4,-0.0258562020669986,0.00112692509511741,-0.0280649752534287,-0.0236474288805685
"ch_dist","ci_scorent","25",5,-0.0184857235200012,0.000100111499237914,-0.0186819420585075,-0.0182895049814949
"ch_dist","ci_scorent","25",6,-0.00821693900226426,0.000341587157118782,-0.00888644983021707,-0.00754742817431144
"ch_dist","ci_scorent","25",7,-0.0112761284871781,0.000100893159651691,-0.0114738790800954,-0.0110783778942608
"ch_dist","ci_scorent","25",8,-0.0250717866168508,0.00020483045270982,-0.025473254304162,-0.0246703189295395
"ch_dist","ci_scorent","25",10,-0.00952968405306288,0.000131991215346192,-0.00978838683514141,-0.00927098127098434
"ch_dist","ci_scorent","25",11,-0.0192994304192655,0.0010246886040634,-0.0213078200832298,-0.0172910407553012
"ch_dist","ci_scorent","50",2,-0.0231761093854998,0.000169791164650216,-0.0235089000682142,-0.0228433187027854
"ch_dist","ci_scorent","50",3,-0.00993668328452001,0.000221015093927277,-0.0103698728686175,-0.00950349370042255
"ch_dist","ci_scorent","50",4,-0.0258562020669986,0.00112692509511741,-0.0280649752534287,-0.0236474288805685
"ch_dist","ci_scorent","50",5,-0.0184857235200012,0.000100111499237914,-0.0186819420585075,-0.0182895049814949
"ch_dist","ci_scorent","50",6,-0.00821693900226426,0.000341587157118782,-0.00888644983021707,-0.00754742817431144
"ch_dist","ci_scorent","50",7,-0.0107478309810764,0.000296210744808307,-0.0113284040409007,-0.0101672579212521
"ch_dist","ci_scorent","50",8,-0.0252688914008929,0.000365063552923929,-0.0259844159646238,-0.024553366837162
"ch_dist","ci_scorent","50",10,-0.00952968405306288,0.000131991215346192,-0.00978838683514141,-0.00927098127098434
"ch_dist","ci_scorent","50",11,-0.0170992610334675,0.00157111116760803,-0.0201786389219793,-0.0140198831449558
"ch_dist","ci_scorent","75",2,-0.0229229898148681,0.000185511467944615,-0.0232865922920395,-0.0225593873376966
"ch_dist","ci_scorent","75",3,-0.0100845134949819,0.000155045025451871,-0.0103884017448676,-0.00978062524509627
"ch_dist","ci_scorent","75",4,-0.0332881349455763,0.00116962886671829,-0.0355806075243442,-0.0309956623668085
"ch_dist","ci_scorent","75",5,-0.0185644619063997,0.000108223942174547,-0.0187765808330619,-0.0183523429797376
"ch_dist","ci_scorent","75",6,-0.00887912292733419,0.000350175344284367,-0.00956546660213155,-0.00819277925253683
"ch_dist","ci_scorent","75",7,-0.0105638388138899,0.000158293246776887,-0.0108740935775726,-0.0102535840502072
"ch_dist","ci_scorent","75",8,-0.0253338707523554,0.00020908318315337,-0.025743673791336,-0.0249240677133748
"ch_dist","ci_scorent","75",10,-0.0108237656616846,0.000227863884296706,-0.0112703788749061,-0.010377152448463
"ch_dist","ci_scorent","75",11,-0.0190787544834325,0.000916992031538967,-0.0208760588652488,-0.0172814501016161
"ch_dist","ci_scorent","90",2,-0.0214993041314867,0.000189817710905959,-0.0218713468448624,-0.021127261418111
"ch_dist","ci_scorent","90",3,-0.00995756305195532,0.000205645918365859,-0.0103606290519524,-0.00955449705195823
"ch_dist","ci_scorent","90",4,-0.0369569353083131,0.00146336629062199,-0.0398251332379323,-0.034088737378694
"ch_dist","ci_scorent","90",5,-0.0177366981816617,0.000143074260311559,-0.0180171237318723,-0.017456272631451
"ch_dist","ci_scorent","90",6,-0.00887319268089697,0.000357046835548672,-0.00957300447857236,-0.00817338088322157
"ch_dist","ci_scorent","90",7,-0.010340881260112,0.000169134821422384,-0.0106723855100999,-0.0100093770101242
"ch_dist","ci_scorent","90",8,-0.0261563086577193,0.000239381469963986,-0.0266254963388487,-0.0256871209765899
"ch_dist","ci_scorent","90",10,-0.0122530974493625,0.000293458716754009,-0.0128282765342004,-0.0116779183645247
"ch_dist","ci_scorent","90",11,-0.0193484768084623,0.00116023697736278,-0.0216225412840933,-0.0170744123328312
"ch_dist","ci_scorent","100",2,-0.0172209573797463,0.000358668353640864,-0.0179239473528824,-0.0165179674066102
"ch_dist","ci_scorent","100",3,-0.0102803414724272,0.000232341769917235,-0.0107357313414649,-0.00982495160338938
"ch_dist","ci_scorent","100",4,-0.0310968475051663,0.00212377907212612,-0.0352594544865335,-0.0269342405237991
"ch_dist","ci_scorent","100",5,-0.013227366640979,0.000205180975531121,-0.01362952135302,-0.012825211928938
"ch_dist","ci_scorent","100",6,-0.0095051694539287,0.000639211151532226,-0.0107580233109319,-0.00825231559692554
"ch_dist","ci_scorent","100",7,-0.00871578913336918,0.00021422977067238,-0.00913567948388704,-0.00829589878285131
"ch_dist","ci_scorent","100",8,-0.024340122732292,0.00045397466984869,-0.0252299130851954,-0.0234503323793886
"ch_dist","ci_scorent","100",10,-0.01167099398514,0.000302457906680475,-0.0122638114822337,-0.0110781764880463
"ch_dist","ci_scorent","100",11,-0.0202613832587372,0.00258102391885035,-0.0253201901396839,-0.0152025763777905
"ch_dist","obgyn_10kwra","10",2,-0.0226065451546471,0.000226838238703884,-0.0230511481025067,-0.0221619422067875
"ch_dist","obgyn_10kwra","10",3,-0.0185180094314615,0.000209187124903483,-0.0189280161962723,-0.0181080026666507
"ch_dist","obgyn_10kwra","10",4,-0.0137300489131052,0.00157532666553446,-0.0168176891775527,-0.0106424086486576
"ch_dist","obgyn_10kwra","10",5,-0.0139782914942989,0.000139899694139977,-0.0142524948948132,-0.0137040880937845
"ch_dist","obgyn_10kwra","10",6,-0.0123369158089388,0.000565507790867572,-0.0134453110790392,-0.0112285205388383
"ch_dist","obgyn_10kwra","10",7,-0.0146787497920985,0.000234654736286364,-0.0151386730752197,-0.0142188265089772
"ch_dist","obgyn_10kwra","10",8,-0.0288351728325433,0.00032673844020357,-0.0294755801753423,-0.0281947654897443
"ch_dist","obgyn_10kwra","10",10,-0.0117239090875296,0.000319953172820821,-0.0123510173062585,-0.0110968008688008
"ch_dist","obgyn_10kwra","10",11,-0.00247740828379401,0.00174152019834957,-0.00589078787255918,0.000935971304971153
"ch_dist","obgyn_10kwra","25",2,-0.0233376206627803,0.000215568592915899,-0.0237601351048955,-0.0229151062206652
"ch_dist","obgyn_10kwra","25",3,-0.017310257750812,0.000330956987764956,-0.0179589334468313,-0.0166615820547926
"ch_dist","obgyn_10kwra","25",4,-0.022102128147412,0.000829312709415633,-0.0237275810578666,-0.0204766752369573
"ch_dist","obgyn_10kwra","25",5,-0.0148195550716558,0.000113629268057827,-0.0150422684370491,-0.0145968417062624
"ch_dist","obgyn_10kwra","25",6,-0.00813792496451649,0.000505039032651876,-0.00912780146851417,-0.00714804846051882
"ch_dist","obgyn_10kwra","25",7,-0.0183714867785045,0.000233404747636665,-0.0188289600838724,-0.0179140134731366
"ch_dist","obgyn_10kwra","25",8,-0.0271298262886342,0.000302420633024636,-0.0277225707293625,-0.0265370818479059
"ch_dist","obgyn_10kwra","25",10,-0.0369900289471016,0.00167274194883417,-0.0402686031668165,-0.0337114547273866
"ch_dist","obgyn_10kwra","25",11,-0.0140642445157757,0.00118231767599087,-0.0163815871607178,-0.0117469018708336
"ch_dist","obgyn_10kwra","50",2,-0.0240757472035548,0.000164331185117193,-0.0243978363263845,-0.0237536580807251
"ch_dist","obgyn_10kwra","50",3,-0.00606010509560245,0.000141601679620831,-0.00633764438765928,-0.00578256580354562
"ch_dist","obgyn_10kwra","50",4,-0.0343989242500634,0.00120987389342684,-0.03677027708118,-0.0320275714189468
"ch_dist","obgyn_10kwra","50",5,-0.0137378767197776,6.71709755435656e-05,-0.013869531831843,-0.0136062216077122
"ch_dist","obgyn_10kwra","50",6,-0.00857191697802848,0.000297349836114614,-0.00915472265681312,-0.00798911129924383
"ch_dist","obgyn_10kwra","50",7,-0.0115630129343731,0.000136754253086673,-0.011831051270423,-0.0112949745983233
"ch_dist","obgyn_10kwra","50",8,-0.0262342168689904,0.000204091602266136,-0.0266342364094321,-0.0258341973285488
"ch_dist","obgyn_10kwra","50",10,-0.0106046908054761,0.000215582030499311,-0.0110272315852547,-0.0101821500256974
"ch_dist","obgyn_10kwra","50",11,-0.0186920417594355,0.00102915906075503,-0.0207091935185153,-0.0166748900003556
"ch_dist","obgyn_10kwra","75",2,-0.0166873178875974,0.000118877132464244,-0.0169203170672273,-0.0164543187079675
"ch_dist","obgyn_10kwra","75",3,-0.00430601005679932,0.000119868667380149,-0.00454095264486442,-0.00407106746873423
"ch_dist","obgyn_10kwra","75",4,-0.032115268852732,0.0012484996966631,-0.0345623282581917,-0.0296682094472723
"ch_dist","obgyn_10kwra","75",5,-0.0174356010151561,9.97339345194698e-05,-0.0176310795268143,-0.0172401225034979
"ch_dist","obgyn_10kwra","75",6,-0.00737177016219663,0.000376243624095203,-0.00810920766542323,-0.00663433265897004
"ch_dist","obgyn_10kwra","75",7,-0.00809872646783282,0.000151650830314792,-0.00839596209524981,-0.00780149084041583
"ch_dist","obgyn_10kwra","75",8,-0.0227836022151796,0.000209075826521783,-0.0231933908351623,-0.0223738135951969
"ch_dist","obgyn_10kwra","75",10,-0.0149892930813062,0.000225831328422365,-0.015431922485014,-0.0145466636775983
"ch_dist","obgyn_10kwra","75",11,-0.0244341598662953,0.00104564029120646,-0.02648361483706,-0.0223847048955306
"ch_dist","obgyn_10kwra","90",2,-0.0255583592604728,0.000555406720377892,-0.0266469564324134,-0.0244697620885321
"ch_dist","obgyn_10kwra","90",3,-0.0113151023239838,0.000150927524074024,-0.0116109202711689,-0.0110192843767987
"ch_dist","obgyn_10kwra","90",4,-0.0378235035604328,0.001400578988225,-0.0405686383773538,-0.0350783687435118
"ch_dist","obgyn_10kwra","90",5,-0.0280380304892309,0.000255590780485474,-0.0285389884189824,-0.0275370725594794
"ch_dist","obgyn_10kwra","90",6,-0.00556932344424397,0.000418150840856577,-0.00638889909232286,-0.00474974779616508
"ch_dist","obgyn_10kwra","90",7,-0.00922443408960373,0.000190674011434184,-0.00959815515201473,-0.00885071302719273
"ch_dist","obgyn_10kwra","90",8,-0.0232127282519876,0.000276612261005626,-0.0237548882835587,-0.0226705682204166
"ch_dist","obgyn_10kwra","90",10,-0.00395025797168825,0.00019205897757059,-0.0043266935677266,-0.00357382237564989
"ch_dist","obgyn_10kwra","90",11,-0.0286704716514011,0.00123414601453928,-0.0310893978398981,-0.0262515454629041
"ch_dist","obgyn_10kwra","100",2,-0.0276404140609565,0.000599122441478161,-0.0288146940462537,-0.0264661340756593
"ch_dist","obgyn_10kwra","100",3,-0.00871375748709887,0.000272674267027952,-0.00924819905047365,-0.00817931592372408
"ch_dist","obgyn_10kwra","100",4,-0.0392474213460147,0.0025160063603188,-0.0441787938122396,-0.0343160488797899
"ch_dist","obgyn_10kwra","100",5,-0.0276774692467213,0.000283379928218653,-0.0282328939060298,-0.0271220445874127
"ch_dist","obgyn_10kwra","100",6,-0.0055910687591651,0.000715711184942877,-0.00699386268165314,-0.00418827483667706
"ch_dist","obgyn_10kwra","100",7,-0.00150537939257488,0.000154893743480677,-0.00180897112979701,-0.00120178765535275
"ch_dist","obgyn_10kwra","100",8,-0.0239065085438761,0.000498322059699209,-0.0248832197808865,-0.0229297973068656
"ch_dist","obgyn_10kwra","100",10,-0.00592014285964133,0.000343300417969319,-0.0065930116788612,-0.00524727404042147
"ch_dist","obgyn_10kwra","100",11,-0.0304534655827812,0.00134664788328859,-0.0330928954340268,-0.0278140357315355
"ch_peri","ci_scorent","10",2,0.0871262030150947,0.00369276345557339,0.0798883866421708,0.0943640193880185
"ch_peri","ci_scorent","10",4,0.0820664503076771,0.00415596275281673,0.0739207633121563,0.0902121373031979
"ch_peri","ci_scorent","10",5,0.104935818042307,0.00440995445277756,0.0962923073148632,0.113579328769751
"ch_peri","ci_scorent","10",7,0.0589308626978602,0.00865634638319642,0.0419644237867952,0.0758973016089252
"ch_peri","ci_scorent","10",8,0.203146752002679,0.00376736673696746,0.195762713198222,0.210530790807135
"ch_peri","ci_scorent","10",10,0.0572638461180545,0.0029368580213104,0.0515076043962861,0.0630200878398229
"ch_peri","ci_scorent","10",11,-0.0428216352802394,0.00426983630453678,-0.0511905144371315,-0.0344527561233473
"ch_peri","ci_scorent","25",2,0.0871262030150947,0.00369276345557339,0.0798883866421708,0.0943640193880185
"ch_peri","ci_scorent","25",4,0.0820664503076771,0.00415596275281673,0.0739207633121563,0.0902121373031979
"ch_peri","ci_scorent","25",5,0.104935818042307,0.00440995445277756,0.0962923073148632,0.113579328769751
"ch_peri","ci_scorent","25",7,0.0589308626978602,0.00865634638319642,0.0419644237867952,0.0758973016089252
"ch_peri","ci_scorent","25",8,0.203146752002679,0.00376736673696746,0.195762713198222,0.210530790807135
"ch_peri","ci_scorent","25",10,0.0572638461180545,0.0029368580213104,0.0515076043962861,0.0630200878398229
"ch_peri","ci_scorent","25",11,-0.0428216352802394,0.00426983630453678,-0.0511905144371315,-0.0344527561233473
"ch_peri","ci_scorent","50",2,0.0871262030150947,0.00369276345557339,0.0798883866421708,0.0943640193880185
"ch_peri","ci_scorent","50",4,0.0820664503076771,0.00415596275281673,0.0739207633121563,0.0902121373031979
"ch_peri","ci_scorent","50",5,0.104935818042307,0.00440995445277756,0.0962923073148632,0.113579328769751
"ch_peri","ci_scorent","50",7,0.06163647638565,0.0115123264302433,0.039072316582373,0.0842006361889269
"ch_peri","ci_scorent","50",8,0.18786921667388,0.00535901796986707,0.177365541452941,0.19837289189482
"ch_peri","ci_scorent","50",10,0.0572638461180545,0.0029368580213104,0.0515076043962861,0.0630200878398229
"ch_peri","ci_scorent","50",11,-0.00564973915954354,0.00619957996559386,-0.0178009158921075,0.00650143757302043
"ch_peri","ci_scorent","75",2,0.155199596377852,0.00347966848816014,0.148379446141058,0.162019746614646
"ch_peri","ci_scorent","75",4,0.144043424884646,0.0041463152145149,0.135916647064197,0.152170202705096
"ch_peri","ci_scorent","75",5,0.178110781492964,0.00500000085354476,0.168310779820016,0.187910783165911
"ch_peri","ci_scorent","75",7,0.0756518947532953,0.0070255087475678,0.0618818976080624,0.0894218918985282
"ch_peri","ci_scorent","75",8,0.207106877279994,0.00407231234474661,0.199125145084291,0.215088609475698
"ch_peri","ci_scorent","75",10,0.064244758799026,0.00319351426294845,0.057985470843647,0.0705040467544049
"ch_peri","ci_scorent","75",11,-0.00298892064727845,0.00353747292502261,-0.00992236758032277,0.00394452628576587
"ch_peri","ci_scorent","90",2,0.217974374676793,0.004229207316658,0.209685128336144,0.226263621017443
"ch_peri","ci_scorent","90",4,0.255355197252558,0.00471664680571502,0.246110569513357,0.26459982499176
"ch_peri","ci_scorent","90",5,0.267228103073004,0.00512730828567262,0.257178578833085,0.277277627312922
"ch_peri","ci_scorent","90",7,0.101134485397351,0.00772099356622163,0.0860013380075566,0.116267632787145
"ch_peri","ci_scorent","90",8,0.214990276090883,0.00451883193608502,0.206133365496156,0.223847186685609
"ch_peri","ci_scorent","90",10,0.0707213710988244,0.00372065709339078,0.0634288831957785,0.0780138590018704
