variable,n_missing,n_total,pct_missing
hispanic,4280,710870,0.602
nhblack,4280,710870,0.602
nhwhite,4280,710870,0.602
nhother,4280,710870,0.602
ins_priv,2044,710870,0.288
ins_mcaid,2044,710870,0.288
ins_self,2044,710870,0.288
teach_major,2018,710870,0.284
teach_minor,2018,710870,0.284
perilevel34,1170,710870,0.165
c_section_elect,157,710870,0.022
mother_age_in_years,0,710870,0
ci_scorent,0,710870,0
latitude_d,0,710870,0
longitude_d,0,710870,0
censustract_d,0,710870,0
fcounty_d,0,710870,0
facility_latitude,0,710870,0
facility_longitude,0,710870,0
