spec,mkt,atl_area,n_deliveries,ch_dist,ch_peri,ch_teach,ch_csection,ch_system
base,2,Outside Atlanta,45903,-0.022299545474459333,0.15170080115285603,0.16370289893904758,-0.012898579062943833,NA
base,3,Outside Atlanta,20194,-0.009853200137125548,NA,-0.04967181299844007,-0.032636246352737326,NA
base,4,Outside Atlanta,20318,-0.029313280147770147,0.1479516941210827,NA,-0.03369583291203075,NA
base,5,Outside Atlanta,70733,-0.01790505197292114,0.1768309535452566,-0.06865501172380438,-0.0019883698772166173,NA
base,6,Outside Atlanta,5188,-0.00851077660621061,NA,NA,0.035494403637792604,NA
base,7,Outside Atlanta,22491,-0.010702025048557858,0.08033153685931996,0.08701388474796551,-0.0016274452164938317,NA
base,8,Outside Atlanta,44188,-0.025234140365031653,0.20567958492464825,0.26687149576327196,-0.022485143686661102,NA
base,9,Atlanta area,420619,-0.027001965903163595,0.12917064532487985,0.10073148450851671,0.025181365924859436,NA
base,10,Outside Atlanta,23740,-0.01041133027501387,0.062428741355879086,0.060156112202544486,0.0011684350561486795,NA
base,11,Outside Atlanta,33919,-0.019157430211118164,-7.824952442421158e-4,0.0772440033143381,-0.04447519549580463,NA
system,2,Outside Atlanta,45903,-0.022619350934798377,0.1685993466315984,0.13963102054500773,-0.019418172915671435,0.36483223845633794
system,3,Outside Atlanta,20194,-0.009700969603921283,NA,0.007218517313826658,-0.021381763021996104,0.09423748863945502
system,4,Outside Atlanta,20318,-0.029178010226144344,0.16742599436798006,NA,-0.035805647773338035,0.04965638222670014
system,5,Outside Atlanta,70733,-0.017371346888461436,0.19743750662128348,-0.13862926272234324,-0.0069681728942982595,0.16181106386497085
system,6,Outside Atlanta,5188,-0.00851077660621061,NA,NA,0.035494403637792604,NA
system,7,Outside Atlanta,22491,-0.010752579336898967,0.08365606444917888,0.07610196087893331,-9.984458439039448e-5,0.038249816718796466
system,8,Outside Atlanta,44188,-0.025323678196259983,0.16707454292376228,0.25190989295727023,-0.017454455900960467,0.1297459951767272
system,9,Atlanta area,420619,-0.02703309531360878,0.13132418027115023,0.10578956095240888,0.024313991794364623,0.04757378087338239
system,10,Outside Atlanta,23740,-0.01041133027501387,0.062428741355879086,0.060156112202544486,0.0011684350561486795,NA
system,11,Outside Atlanta,33919,-0.021445786281033982,0.1196474568726796,0.26395298757071606,0.009825351403479681,0.20603836766721084
