threshold,mkt,atl_area,n_hosp,n_deliveries,ch_dist,ch_peri,ch_teach,ch_csection,atl_share,tag
0.05,2,Outside Atlanta,10,45903,-0.022299545474459333,0.15170080115285603,0.16370289893904758,-0.012898579062943833,0,005
0.05,3,Outside Atlanta,4,20194,-0.009853200137125548,NA,-0.04967181299844007,-0.032636246352737326,0,005
0.05,4,Outside Atlanta,4,20318,-0.029313280147770147,0.1479516941210827,NA,-0.03369583291203075,0,005
0.05,5,Outside Atlanta,12,70733,-0.01790505197292114,0.1768309535452566,-0.06865501172380438,-0.0019883698772166173,0,005
0.05,6,Outside Atlanta,3,5188,-0.00851077660621061,NA,NA,0.035494403637792604,0,005
0.05,7,Outside Atlanta,6,22491,-0.010702025048557858,0.08033153685931996,0.08701388474796551,-0.0016274452164938317,0,005
0.05,8,Outside Atlanta,7,44188,-0.025234140365031653,0.20567958492464825,0.26687149576327196,-0.022485143686661102,0,005
0.05,9,Atlanta area,31,420619,-0.027001965903163595,0.12917064532487985,0.10073148450851671,0.025181365924859436,1,005
0.05,10,Outside Atlanta,3,23740,-0.01041133027501387,0.062428741355879086,0.060156112202544486,0.0011684350561486795,0,005
0.05,11,Outside Atlanta,4,33919,-0.019157430211118164,-7.824952442421158e-4,0.0772440033143381,-0.04447519549580463,0,005
0.1,1,Outside Atlanta,3,13312,-0.005432007375498736,0.09876507577901303,-3.370827301016595e-4,9.95035565324836e-4,0,010
0.1,7,Outside Atlanta,4,19901,-0.032235672949773045,0.148235558142439,NA,-0.03102341299307014,0,010
0.1,8,Outside Atlanta,4,23849,-0.03165481376504195,NA,0.42993798760562085,0.08171715691197469,0,010
0.1,9,Outside Atlanta,9,39471,-0.023238416778152273,0.17544742060506044,0.18480355996426392,-0.015098960293101241,0,010
0.1,10,Outside Atlanta,3,4160,-0.007993476688958513,NA,NA,0.04783674535008881,0,010
0.1,16,Atlanta area,4,25037,-0.025983665741407886,0.07536934992943926,0.03018979121362466,0.03990273089886796,0.9862603347046371,010
0.1,18,Outside Atlanta,2,4149,-0.012932030135764652,NA,-0.20096692845409714,0.029752465482664785,0,010
0.1,19,Atlanta area,22,289917,-0.030537722299727326,0.15962311336210072,0.12427993705752448,0.042330823036202885,1,010
0.1,22,Outside Atlanta,5,37334,-0.027261795523588657,0.24067083882082288,-0.21749189842803573,0.03848419059125053,0,010
0.1,26,Outside Atlanta,2,12884,-0.007350396715056557,0.10102261876506177,NA,-0.00503617238302119,0.02444892890406706,010
0.1,27,Atlanta area,2,10486,-0.0037536091375878627,NA,NA,-0.010266717964248244,1,010
0.1,28,Outside Atlanta,2,5722,-0.007814277713371337,NA,-0.04676562063373076,-0.024736438725458637,0,010
0.1,38,Atlanta area,2,11543,-0.02595744934008253,0.2002845592344327,NA,-0.014175903662763082,0.9320800485142511,010
0.1,40,Outside Atlanta,4,19634,-0.012893674217041472,0.29990992437869024,0.03419841961238297,-0.006389848134584099,0.18763369664867066,010
0.1,45,Outside Atlanta,2,1725,-0.00126955897507873,NA,NA,0.002298392165970164,0,010
0.1,47,Outside Atlanta,4,33351,-0.020214907180067614,0.0020717074795817626,0.0708924822965313,-0.04581221563036992,0,010
0.1,52,Outside Atlanta,2,2087,0.0014547728901945422,NA,0.07433924118551434,NA,0,010
0.15,1,Outside Atlanta,5,18299,-0.011645228486152206,NA,-0.022294818971942524,0.007556225492883597,0,015
0.15,2,Outside Atlanta,6,25835,-0.01151571375131462,NA,0.06522603043919652,-0.03136212633542081,0,015
0.15,3,Outside Atlanta,6,23836,-0.01100816143887329,0.12462816703677035,0.016581026206030833,-5.184821686720218e-4,0,015
0.15,4,Outside Atlanta,8,43238,-0.023255495529333925,0.14548995558206926,0.18210721566883623,-0.008765633289861883,0,015
0.15,5,Outside Atlanta,3,25401,-0.010530492653791577,0.061164627264170414,0.06017765281327665,0.0012520346451851167,0.06539112633360891,015
0.15,6,Outside Atlanta,5,22002,-0.025861133098219365,0.13643064480045425,0.12398444954787194,-0.031201575091552948,0,015
0.15,7,Atlanta area,8,59947,-0.025812497563964348,0.05774788058256904,0.06647313261381431,-0.0024887458933904763,0.8502677365005755,015
0.15,9,Outside Atlanta,8,55357,-0.026066717162278905,0.2591450463891127,0.24114034774404994,-0.02217007108263567,0.16299654966851526,015
0.15,10,Atlanta area,20,314934,-0.030611068072120478,0.15399314821470833,0.12254164467213388,0.042210353735846674,0.9980884883816926,015
