threshold,atl_area,n_markets,n_deliveries,n_id_dist,n_id_peri,n_id_teach,n_id_csection,ch_dist,ch_peri,ch_teach,ch_csection
0.05,Atlanta area,1,420619,1,1,1,1,-0.027001965903163585,0.12917064532487985,0.10073148450851672,0.025181365924859426
0.1,Atlanta area,4,336983,4,3,2,4,-0.02920902555406947,0.15459977040532252,0.11680032104536486,0.03857814974390223
0.15,Atlanta area,4,388902,4,3,2,4,-0.029598308063788194,0.14045384946721373,0.11357576191904668,0.03325959900373625
0.2,Atlanta area,8,279474,8,4,2,8,-0.03082304864484254,0.20211810074897057,0.11685926402909703,0.0408148529092236
0.25,Atlanta area,8,258290,8,4,2,8,-0.028785131393615913,0.2589152332077109,0.10583786968942328,0.03598835912000628
0.05,Outside Atlanta,9,286674,9,7,7,9,-0.01877227105226196,0.13329229823852543,0.0744842362877923,-0.015359823613274991
0.1,Outside Atlanta,13,217579,13,7,9,12,-0.02094238597166418,0.15597620721357255,0.06435210569179622,0.003026368931405256
0.15,Outside Atlanta,9,286111,9,7,9,9,-0.01987485279856498,0.15859338424548802,0.07171959285993358,-0.009076546218023595
0.2,Outside Atlanta,11,183773,11,5,8,10,-0.023539611368356216,0.17636556654215924,0.06553313245621131,0.010370431746535486
0.25,Outside Atlanta,14,191216,14,5,9,13,-0.017313660081527703,0.10907914185112715,0.16297318589109883,-2.3600024474853008e-4
